item_mdrm,item_desc,context_level1_mdrm,context_level1_desc,context_level1_value
RISIY856,e. Total first tier short-term wholesale funding (sum of items 1.a through 1.d),,,
RISIY860,a. Funding secured by level 2A liquid assets,,,
RISIY864,b. Covered asset exchanges (level 1 to level 2A),,,
RISIY868,c. Total second tier short-term wholesale funding (sum of items 2.a. and 2.b),,,
RISIY872,a. Funding secured by level 2B liquid assets,,,
RISIY876,b. Other covered asset exchanges,,,
RISIY880,c. Unsecured wholesale funding obtained within the financial sector,,,
RISIY884,d. Total third tier short-term wholesale funding (sum of items 3.a through 3.c),,,
RISIY888,4. All other components of short-term wholesale funding,,,
RISIY892,"5. Total short-term wholesale funding, by maturity (weighted sum of items 1.e, 2.c, 3.d, and 4)",,,
RISOY840,a. Funding secured by level 1 liquid assets,,,
RISOY844,b. Retail brokered deposits and sweeps,,,
RISOY848,c. Unsecured wholesale funding obtained outside of the financial sector,,,
RISOY852,d. Firm short positions involving level 2B liquid assets or non-HQLA,,,
RISOY856,e. Total first tier short-term wholesale funding (sum of items 1.a through 1.d),,,
RISOY860,a. Funding secured by level 2A liquid assets,,,
RISOY864,b. Covered asset exchanges (level 1 to level 2A),,,
RISOY868,c. Total second tier short-term wholesale funding (sum of items 2.a. and 2.b),,,
RISOY872,a. Funding secured by level 2B liquid assets,,,
RISOY876,b. Other covered asset exchanges,,,
RISOY880,c. Unsecured wholesale funding obtained within the financial sector,,,
RISOY884,d. Total third tier short-term wholesale funding (sum of items 3.a through 3.c),,,
RISOY888,4. All other components of short-term wholesale funding,,,
RISOY892,"5. Total short-term wholesale funding, by maturity (weighted sum of items 1.e, 2.c, 3.d, and 4)",,,
RISIY841,a. Funding secured by level 1 liquid assets,,,
RISIY845,b. Retail brokered deposits and sweeps,,,
RISIY849,c. Unsecured wholesale funding obtained outside of the financial sector,,,
RISIY853,d. Firm short positions involving level 2B liquid assets or non-HQLA,,,
RISIY857,e. Total first tier short-term wholesale funding (sum of items 1.a through 1.d),,,
RISIY861,a. Funding secured by level 2A liquid assets,,,
RISIY865,b. Covered asset exchanges (level 1 to level 2A),,,
RISIY869,c. Total second tier short-term wholesale funding (sum of items 2.a. and 2.b),,,
RISIY873,a. Funding secured by level 2B liquid assets,,,
RISIY877,b. Other covered asset exchanges,,,
RISIY881,c. Unsecured wholesale funding obtained within the financial sector,,,
RISIY885,d. Total third tier short-term wholesale funding (sum of items 3.a through 3.c),,,
RISIY889,4. All other components of short-term wholesale funding,,,
RISIY893,"5. Total short-term wholesale funding, by maturity (weighted sum of items 1.e, 2.c, 3.d, and 4)",,,
RISOY841,a. Funding secured by level 1 liquid assets,,,
RISOY845,b. Retail brokered deposits and sweeps,,,
RISOY849,c. Unsecured wholesale funding obtained outside of the financial sector,,,
RISOY853,d. Firm short positions involving level 2B liquid assets or non-HQLA,,,
RISOY857,e. Total first tier short-term wholesale funding (sum of items 1.a through 1.d),,,
RISOY861,a. Funding secured by level 2A liquid assets,,,
RISOY865,b. Covered asset exchanges (level 1 to level 2A),,,
RISOY869,c. Total second tier short-term wholesale funding (sum of items 2.a. and 2.b),,,
RISOY873,a. Funding secured by level 2B liquid assets,,,
RISOY877,b. Other covered asset exchanges,,,
RISOY881,c. Unsecured wholesale funding obtained within the financial sector,,,
RISOY885,d. Total third tier short-term wholesale funding (sum of items 3.a through 3.c),,,
RISOY889,4. All other components of short-term wholesale funding,,,
RISOY893,"5. Total short-term wholesale funding, by maturity (weighted sum of items 1.e, 2.c, 3.d, and 4)",,,
RISIY894,"6. Total short-term wholesale funding (Column A: sum of A, C, E, and G in item 5; Column B: sum of B, D, F, and H in item 5)",,,
RISIY895,7. Average risk-weighted assets,,,
RISOY894,"6. Total short-term wholesale funding (Column A: sum of A, C, E, and G in item 5; Column B: sum of B, D, F, and H in item 5)",,,
RISOY895,7. Average risk-weighted assets,,,
RISIY896,8. Short-term wholesale funding metric (item 6 divided by item 7),,,
RISOY896,8. Short-term wholesale funding metric (item 6 divided by item 7),,,
RISK6980,Narrative Statement,,,
RISKC490,Printed Name of Chief Financial Officer (or Equivalent/Authorized Officer),,,
RISKH321,Signature of Chief Financial Officer (or Equivalent/Authorized Officer),,,
RISKJ196,Date of Signature (MM/DD/YYYY),,,
RSSD9017,Legal Title of Holding Company or Foreign Banking Organization,,,
RSSD9028,(Mailing Address of the Holding Company or Foreign Banking Organization) Street / PO Box,,,
RSSD9130,City,,,
RSSD9200,State,,,
RSSD9220,Zip Code,,,
RSSD9005,Country,,,
RISK8901,Name / Title,,,
RISK8902,Area Code / Phone Number,,,
RISK9116,Area Code / FAX Number,,,
RISK4086,E-mail Address of Contact,,,
RISKC447,Is confidential treatment requested for any portion of this report submission? (0=No; 1=Yes),,,
RISKKY38,"If a letter justifying this request is being provided along with the report, enter ""1"". If a letter justifying this request has been provided separately, enter ""0"".",,,
RISKM377,a. Australian dollars (AUD),,,
RISKM378,b. Brazilian real (BRL),,,
RISKM379,c. Canadian dollars (CAD),,,
RISKM380,d. Swiss francs (CHF),,,
RISKM381,e. Chinese yuan (CNY),,,
RISKM382,f. Euros (EUR),,,
RISKM383,g. British pounds (GBP),,,
RISKM384,h. Hong Kong dollars (HKD),,,
RISKM385,i. Indian rupee (INR),,,
RISKM386,j. Japanese yen (JPY),,,
RISKY835,k. Mexican pesos (MXN),,,
RISKM387,l. Swedish krona (SEK),,,
RISKM388,m. United States dollars (USD),,,
RISKM390,2. Payments activity (sum of items 1.a through 1.m),,,
RISKM405,3. Assets held as a custodian on behalf of customers,,,
RISKM406,4. Equity underwriting activity,,,
RISKM407,5. Debt underwriting activity,,,
RISKM408,6. Total underwriting activity (sum of items 4 and 5),,,
RISKY836,1. New Zealand dollars (NZD),,,
RISKY837,2. Russian rubles (RUB),,,
RISKM389,3. Payments made in the last four quarters in all other currencies,,,
RISKM436,4. Unsecured settlement/clearing lines provided,,,
RISKKW46,a. Securities issued by public sector entities.,,,
RISKKW48,b. Other fixed income securities.,,,
RISKKW50,c. Listed equities.,,,
RISKKW52,d. Other securities.,,,
RISKMV93,6. Trading volume - fixed income (sum of items M.5.a and M.5.b),,,
RISKMV95,7. Trading volume - equities and other securities (sum of items M.5.c and M.5.d),,,
